?Specia,GrupaSpecii,Simbol,SortimentPrimar,GrupaSpeciiSortiment,SortimentIndustrial,SortimentSUMAL,SubsortimentSUMAL,PretFasonat_lei_mc
Par paduret,Foioase,Pr,LEMN ROTUND,DT Ce Ca Ju Me,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,370.0
Par paduret,Foioase,Pr,LEMN DE FOC,DT,LEMN FOC,LEMN DE FOC,LEMN DE FOC,320.0
Par paduret,Foioase,Pr,LEMN DE FOC,DT,GR.CRACI,LEMN DE FOC,LEMN DE FOC,100.0
Pin negru,Rasinoase,Pi,LEMN ROTUND,Alte Rasinoase,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,400.0
Pin negru,Rasinoase,Pi,LEMN ROTUND,Alte Rasinoase,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,330.0
Pin negru,Rasinoase,Pi,LEMN ROTUND,Alte Rasinoase,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,240.0
Pin negru,Rasinoase,Pi,LEMN ROTUND,Alte Rasinoase,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,240.0
Pin negru,Rasinoase,Pi,LEMN DE FOC,DM +Rasinoase,LEMN FOC,LEMN DE FOC,LEMN DE FOC,140.0
Pin negru,Rasinoase,Pi,LEMN DE FOC,DM +Rasinoase,GR.CRACI,LEMN DE FOC,LEMN DE FOC,90.0
Pin silvestru,Rasinoase,Pi,LEMN ROTUND,Alte Rasinoase,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,400.0
Pin silvestru,Rasinoase,Pi,LEMN ROTUND,Alte Rasinoase,GATER 24-40 cm,LEMN ROTUND,BU?TEAN GATER,330.0
Pin silvestru,Rasinoase,Pi,LEMN ROTUND,Alte Rasinoase,CONSTRUCTII (CR),LEMN ROTUND,LEMN PENTRU CONSTRUC?II RURALE,240.0
Pin silvestru,Rasinoase,Pi,LEMN ROTUND,Alte Rasinoase,PLACI,LEMN ROTUND,LEMN ROTUND PLÃCI / CELULOZÃ,240.0
Pin silvestru,Rasinoase,Pi,LEMN DE FOC,DM +Rasinoase,LEMN FOC,LEMN DE FOC,LEMN DE FOC,140.0
Pin silvestru,Rasinoase,Pi,LEMN DE FOC,DM +Rasinoase,GR.CRACI,LEMN DE FOC,LEMN DE FOC,90.0
Plop alb,Foioase,Pl,LEMN ROTUND,DM Te Sa Pl An,GATER > 40 CM,LEMN ROTUND,BU?TEAN GATER,250.0
